"SCD","2013 UKUPNO","2013 MUŠKARCI","2013 ŽENE","2013 UKUPNO_0- 4","2013  UKUPNO_5-9","2013 UKUPNO_10-14","2013 UKUPNO_15-19","2013 UKUPNO_20-24","2013 UKUPNO_25-34","2013 UKUPNO_35-44","2013 UKUPNO_45-54","2013 UKUPNO_55-64","2013 UKUPNO_65-74","2013 UKUPNO_75+","2014 UKUPNO","2014 MUŠKARCI","2014 ŽENE","2014 UKUPNO_0- 4","2014  UKUPNO_5-9","2014 UKUPNO_10-14","2014 UKUPNO_15-19","2014 UKUPNO_20-24","2014 UKUPNO_25-34","2014 UKUPNO_35-44","2014 UKUPNO_45-54","2014 UKUPNO_55-64","2014 UKUPNO_65-74","2014 UKUPNO_75+"
"BREZOVICA",12252,5957,6295,695,697,754,703,718,1673,1674,1715,1647,1087,890,12379,6018,6361,702,704,761,710,725,1691,1692,1733,1664,1098,899
"ÈRNOMEREC",38508,17908,20600,1944,1635,1781,1884,2120,5683,5583,5259,5326,3960,3333,38486,17898,20588,1943,1634,1780,1883,2119,5680,5579,5256,5323,3958,3331
"DONJA DUBRAVA",36437,17370,19067,2051,1885,2243,2309,2429,5291,5082,5549,4142,3374,2082,36480,17391,19089,2054,1887,2245,2311,2432,5297,5088,5556,4147,3378,2085
"DONJI GRAD",35863,15822,20041,1258,1042,1170,1410,1820,5217,4442,4620,6332,4071,4479,35199,15529,19670,1235,1023,1148,1384,1786,5121,4360,4535,6215,3996,4396
"GORNJA DUBRAVA",61921,29370,32551,3358,3048,3743,3922,3953,8657,8983,8933,7457,6000,3868,61967,29392,32575,3361,3050,3746,3925,3956,8664,8989,8939,7462,6004,3871
"GORNJI GRAD-MEDVEŠÆAK",30155,13793,16362,1239,1131,1227,1410,1486,3926,3797,3777,5043,3629,3490,29692,13582,16110,1220,1113,1208,1389,1463,3866,3739,3719,4966,3573,3436
"MAKSIMIR",48756,22370,26386,2324,2183,2369,2382,2647,6600,6933,6589,6608,5044,5076,48673,22332,26341,2320,2180,2365,2378,2643,6589,6921,6578,6597,5035,5067
"NOVI ZAGREB-ISTOK",58066,26593,31473,2568,2230,2446,2513,2899,8464,8764,7120,8411,7937,4715,57503,26335,31168,2543,2208,2423,2489,2870,8382,8679,7051,8329,7860,4669
"NOVI ZAGREB-ZAPAD",59997,28617,31380,3565,2767,3103,3182,3749,10315,8970,8527,6812,4804,4203,61079,29133,31946,3629,2817,3159,3240,3817,10501,9132,8681,6935,4890,4278
"PEŠÆENICA-ŽITNJAK",56182,26239,29943,2988,2586,2856,2981,3827,8906,7301,8402,7262,4615,4459,56009,26157,29852,2979,2578,2847,2972,3815,8878,7279,8376,7239,4601,4445
"PODSLJEME",19434,9344,10090,1114,1022,1069,1097,1036,2561,2971,2765,2547,1931,1319,19588,9418,10170,1123,1030,1077,1106,1045,2582,2995,2787,2567,1946,1330
"PODSUSED-VRAPÈE",46402,21887,24515,2689,2164,2296,2417,2482,7073,6877,6460,6140,4739,3063,46771,22060,24711,2711,2181,2314,2437,2502,7129,6932,6512,6189,4776,3088
"SESVETE",72243,34954,37289,4634,4400,4879,4529,4421,10822,11226,9720,7990,5930,3692,73520,35572,37947,4716,4478,4965,4609,4499,11013,11425,9891,8131,6035,3757
"STENJEVEC",53599,25485,28114,3189,2756,2998,3069,3429,9154,8379,8123,6821,3544,2136,54861,26085,28776,3265,2820,3068,3142,3510,9370,8577,8314,6982,3628,2186
"TREŠNJEVKA-JUG",66589,30893,35696,3365,2838,2678,2860,3734,11164,9976,8465,9861,7077,4570,66541,30870,35671,3362,2836,2676,2858,3732,11156,9969,8459,9854,7072,4567
"TREŠNJEVKA-SJEVER",55437,25588,29849,2606,2050,2362,2659,3579,9285,7570,7870,7679,4881,4898,55446,25592,29854,2606,2051,2362,2659,3579,9286,7571,7871,7680,4882,4899
"TRNJE",41794,18980,22814,1799,1476,1624,1776,2605,6878,5423,5812,6374,3968,4061,41515,18854,22661,1787,1466,1613,1764,2587,6832,5387,5773,6331,3941,4034
"BRAŠÆINE-PULAC; PAŠAC; SVILNO; OREHOVICA; DRAGA; SVETI KUZAM",5889,2867,3022,253,252,284,296,333,804,805,894,935,584,446,5890,2868,3022,253,252,284,296,333,805,806,895,936,584,446
"DRENOVA",7622,3694,3928,356,339,350,377,457,1156,1145,1146,1212,697,389,7620,3693,3927,356,339,350,377,457,1155,1144,1145,1211,697,389
"KANTRIDA",5896,2702,3194,174,166,212,244,310,656,656,846,867,724,1041,5834,2673,3161,172,164,210,242,307,649,649,837,858,716,1030
"KRIMEJA; PEÆINE",5555,2560,2995,209,142,168,200,283,755,638,823,910,560,868,5456,2515,2941,205,139,165,196,278,742,626,808,894,550,853
"MLAKA",3847,1818,2029,108,119,129,166,241,560,463,621,676,377,389,3765,1779,1986,106,116,126,162,236,548,453,607,661,369,381
"PODVEŽICA",5953,2759,3194,184,212,215,245,331,761,726,904,775,675,925,5864,2718,3146,181,209,212,241,326,750,715,891,763,665,911
"SRDOÈI",6703,3273,3430,330,326,311,339,387,1071,1041,968,1116,520,293,6805,3323,3482,335,331,316,344,393,1088,1057,983,1133,528,297
"ŠKOLJIÆ; BULEVARD; CENTAR-SUŠAK; LUKA",6631,3103,3528,247,219,260,291,392,990,843,1038,1184,561,607,6508,3046,3462,242,215,255,285,385,972,827,1018,1162,551,596
"ŠKURINJE; PEHLIN",11335,5525,5810,583,510,559,589,660,1641,1716,1698,1654,1176,551,11351,5534,5817,583,511,559,590,661,1644,1718,1700,1656,1178,551
"GRAD TRSAT; VOJAK",5044,2349,2695,166,186,228,265,242,567,674,786,696,598,634,4982,2320,2662,164,184,225,262,239,560,666,777,688,591,626
"TURNIÆ",4382,2046,2336,164,148,135,132,249,636,532,655,674,492,565,4292,2004,2288,161,145,132,130,244,623,521,641,660,482,553
