"Zupanija";"2014 Privatno Putovanja Ukupno 1 i više noæenja";"2014 Privatno Putovanja Ukupno 1 – 3 noæenja";"2014 Privatno Putovanja Ukupno 4 i više noæenja";"2014 Privatno Putovanja Inozemstvo 1 i više noæenja";"2014 Privatno Putovanja Inozemstvo 1 – 3 noæenja";"2014 Privatno Putovanja Inozemstvo 4 i više noæenja";"2014 Privatno Putovanja Hrvatska 1 i više noæenja";"2014 Privatno Putovanja Hrvatska 1 – 3 noæenja";"2014 Privatno Putovanja Hrvatska 4 i više noæenja";"2014 Privatno Noæenja Ukupno 1 i više noæenja";"2014 Privatno Noæenja Ukupno 1 – 3 noæenja";"2014 Privatno Noæenja Ukupno 4 i više noæenja";"2014 Privatno Noæenja Inozemstvo 1 i više noæenja";"2014 Privatno Noæenja Inozemstvo 1 – 3 noæenja";"2014 Privatno Noæenja Inozemstvo 4 i više noæenja";"2014 Privatno Noæenja Hrvatska 1 i više noæenja";"2014 Privatno Noæenja Hrvatska 1 – 3 noæenja";"2014 Privatno Noæenja Hrvatska 4 i više noæenja";"2014 Privatno Izdaci Ukupno 1 i više noæenja";"2014 Privatno Izdaci Ukupno 1 – 3 noæenja";"2014 Privatno Izdaci Ukupno 4 i više noæenja";"2014 Privatno Izdaci Inozemstvo 1 i više noæenja";"2014 Privatno Izdaci Inozemstvo 1 – 3 noæenja";"2014 Privatno Izdaci Inozemstvo 4 i više noæenja";"2014 Privatno Izdaci Hrvatska 1 i više noæenja";"2014 Privatno Izdaci Hrvatska 1 – 3 noæenja";"2014 Privatno Izdaci Hrvatska 4 i više noæenja";"2014 Poslovno Putovanja Ukupno 1 i više noæenja";"2014 Poslovno Putovanja Ukupno 1 – 3 noæenja";"2014 Poslovno Putovanja Ukupno 4 i više noæenja";"2014 Poslovno Putovanja Inozemstvo 1 i više noæenja";"2014 Poslovno Putovanja Inozemstvo 1 – 3 noæenja";"2014 Poslovno Putovanja Inozemstvo 4 i više noæenja";"2014 Poslovno Putovanja Hrvatska 1 i više noæenja";"2014 Poslovno Putovanja Hrvatska 1 – 3 noæenja";"2014 Poslovno Putovanja Hrvatska 4 i više noæenja";"2014 Poslovno Noæenja Ukupno 1 i više noæenja";"2014 Poslovno Noæenja Ukupno 1 – 3 noæenja";"2014 Poslovno Noæenja Ukupno 4 i više noæenja";"2014 Poslovno Noæenja Inozemstvo 1 i više noæenja";"2014 Poslovno Noæenja Inozemstvo 1 – 3 noæenja";"2014 Poslovno Noæenja Inozemstvo 4 i više noæenja";"2014 Poslovno Noæenja Hrvatska 1 i više noæenja";"2014 Poslovno Noæenja Hrvatska 1 – 3 noæenja";"2014 Poslovno Noæenja Hrvatska 4 i više noæenja";"2014 Poslovno Izdaci Ukupno 1 i više noæenja";"2014 Poslovno Izdaci Ukupno 1 – 3 noæenja";"2014 Poslovno Izdaci Ukupno 4 i više noæenja";"2014 Poslovno Izdaci Inozemstvo 1 i više noæenja";"2014 Poslovno Izdaci Inozemstvo 1 – 3 noæenja";"2014 Poslovno Izdaci Inozemstvo 4 i više noæenja";"2014 Poslovno Izdaci Hrvatska 1 i više noæenja";"2014 Poslovno Izdaci Hrvatska 1 – 3 noæenja";"2014 Poslovno Izdaci Hrvatska 4 i više noæenja"
"Ukupno";6649823;3890091;2759732;2026314;1027094;999220;4623509;2862996;1760512;37422357;7358379;30063979;12865266;2030582;10834684;24557091;5327797;19229294;9858268375;3274671446;6583596929;5622422618;1475704118;4146718500;4235845757;1798967328;2436878429;1523610;1083418;440192;736939;449809;287131;786671;633609;153061;10517963;1869206;8648757;7035392;826939;6208454;3482571;1042267;2440304;4630558461;2183315710;2447242751;3537906108;1419355917;2118550191;1092652353;763959793;328692560
"Zagrebaèka županija";406553;213472;193081;136241;73913;62328;270313;139559;130753;2691253;380209;2311044;781602;128901;652700;1909651;251308;1658344;496036315;139448761;356587553;246020013;75012481;171007533;250016301;64436281;185580020;76690;56376;20314;32029;20176;11852;44661;36200;8462;808090;102935;705154;332349;49656;282694;475740;53280;422460;235949929;116097792;119852137;125313848;62048786;63265062;110636081;54049006;56587075
"Krapinsko-zagorska županija";119508;64695;54813;29364;14778;14586;90144;49917;40227;676825;126557;550267;117224;31866;85359;559600;94692;464909;160839666;53831387;107008280;83462416;28891028;54571388;77377250;24940359;52436892;31602;28868;2734;22305;19571;2734;9298;9298;..;94134;59172;34963;78880;43918;34963;15254;15254;..;86882255;76234129;10648126;78170010;67521884;10648126;8712245;8712245;..
"Sisaèko-moslavaèka županija";245691;146813;98878;75296;34179;41117;170396;112635;57761;1085582;275174;810408;418358;70102;348256;667224;205072;462152;250173368;98493136;151680231;139322120;47744790;91577330;110851247;50748346;60102901;61815;29850;31965;49084;17555;31529;12731;12295;436;363165;39862;323303;343992;24177;319815;19172;15685;3487;325980924;66071720;259909205;312792572;53319263;259473309;13188352;12752457;435895
"Karlovaèka županija";142423;76833;65590;46808;17848;28960;95615;58985;36630;882816;141064;741752;455020;37708;417311;427796;103356;324441;247189791;57916841;189272950;159761216;27203260;132557956;87428575;30713581;56714994;14647;14647;..;436;436;..;14211;14211;..;22626;22626;..;872;872;..;21754;21754;..;11764743;11764743;..;1379609;1379609;..;10385135;10385135;..
"Varaždinska županija";179699;75107;104592;51233;22111;29122;128466;52997;75470;860327;147571;712757;245291;54500;190791;615036;93070;521966;276460795;81592148;194868647;143904678;35417271;108487407;132556117;46174878;86381240;34654;31711;2942;23098;23098;..;11556;8613;2942;75467;47825;27642;34504;34504;..;40963;13321;27642;63694715;61519022;2175694;45784605;45784605;..;17910111;15734417;2175694
"Koprivnièko-križevaèka županija";99194;63714;35480;21244;14945;6299;77950;48769;29181;541417;87891;453527;102154;22922;79232;439263;64968;374295;81734049;34759721;46974328;24443309;12248509;12194800;57290740;22511212;34779529;21703;11573;10130;7054;2497;4558;14649;9077;5572;133178;13422;119756;67947;3909;64038;65231;9513;55718;31923845;13470973;18452872;19321159;7339011;11982148;12602686;6131962;6470724
"Bjelovarsko-bilogorska županija";148842;95540;53301;33633;22035;11598;115209;73505;41704;934895;153018;781878;99442;37846;61596;835454;115172;720282;156007019;53433394;102573625;53137309;25841917;27295392;102869710;27591477;75278233;42570;24620;17950;21541;10564;10977;21029;14056;6973;177756;42775;134982;123546;19119;104427;54210;23656;30554;133162495;71300452;61862044;70129486;30189502;39939985;63033009;41110950;21922059
"Primorsko-goranska županija";577833;341736;236097;185148;109161;75987;392685;232576;160110;3057317;638247;2419071;1147644;217459;930185;1909673;420788;1488886;989266690;459320489;529946201;507480598;148976170;358504429;481786092;310344319;171441772;83680;60116;23564;46499;26115;20384;37181;34001;3180;934076;112641;821435;860380;56894;803485;73696;55746;17950;386764774;105153057;281611717;342799728;67070118;275729610;43965047;38082940;5882107
"Lièko-senjska županija";106246;77749;28497;20484;8703;11781;85762;69046;16716;462569;152732;309837;138272;19975;118297;324297;132758;191539;114302368;41633821;72668546;49237414;10517024;38720390;65064954;31116797;33948156;6082;4704;1378;2784;1406;1378;3298;3298;..;14096;8583;5512;8324;2811;5512;5772;5772;..;10346436;5998684;4347752;5579818;1232066;4347752;4766618;4766618;..
