"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HC","AC"
"1",2014-08-22,"Bayern Munich","Wolfsburg","2","1","H",17,9,10,4,9,3
"2",2014-08-23,"Dortmund","Leverkusen","0","2","A",11,11,4,2,8,4
"3",2014-08-23,"Ein Frankfurt","Freiburg","1","0","H",10,13,3,7,6,5
"4",2014-08-23,"FC Koln","Hamburg","0","0","D",10,19,3,4,3,6
"5",2014-08-23,"Hannover","Schalke 04","2","1","H",8,12,3,5,2,4
"6",2014-08-23,"Hertha","Werder Bremen","2","2","D",19,9,5,5,9,5
"7",2014-08-23,"Hoffenheim","Augsburg","2","0","H",10,12,3,2,7,3
"8",2014-08-24,"M'gladbach","Stuttgart","1","1","D",19,7,6,3,6,3
"9",2014-08-24,"Paderborn","Mainz","2","2","D",10,14,3,4,4,3
"10",2014-08-29,"Augsburg","Dortmund","2","3","A",12,22,3,9,3,6
"11",2014-08-30,"Hamburg","Paderborn","0","3","A",13,15,4,7,8,3
"12",2014-08-30,"Leverkusen","Hertha","4","2","H",21,3,7,1,5,6
"13",2014-08-30,"Schalke 04","Bayern Munich","1","1","D",8,10,4,4,1,3
"14",2014-08-30,"Stuttgart","FC Koln","0","2","A",14,10,5,4,7,4
"15",2014-08-30,"Werder Bremen","Hoffenheim","1","1","D",15,12,1,1,6,6
"16",2014-08-30,"Wolfsburg","Ein Frankfurt","2","2","D",14,9,11,4,4,3
"17",2014-08-31,"Freiburg","M'gladbach","0","0","D",17,9,4,3,4,5
"18",2014-08-31,"Mainz","Hannover","0","0","D",14,11,2,6,4,2
"19",2014-09-12,"Leverkusen","Werder Bremen","3","3","D",26,8,9,5,6,4
"20",2014-09-13,"Bayern Munich","Stuttgart","2","0","H",14,7,8,0,2,4
"21",2014-09-13,"Dortmund","Freiburg","3","1","H",15,4,6,3,3,5
"22",2014-09-13,"Hertha","Mainz","1","3","A",17,7,3,6,4,1
"23",2014-09-13,"Hoffenheim","Wolfsburg","1","1","D",15,22,6,5,4,7
"24",2014-09-13,"M'gladbach","Schalke 04","4","1","H",23,11,9,6,8,2
"25",2014-09-13,"Paderborn","FC Koln","0","0","D",8,4,4,1,5,1
"26",2014-09-14,"Ein Frankfurt","Augsburg","0","1","A",14,17,5,7,5,6
"27",2014-09-14,"Hannover","Hamburg","2","0","H",11,11,4,0,4,2
"28",2014-09-19,"Freiburg","Hertha","2","2","D",15,7,5,2,7,6
"29",2014-09-20,"Augsburg","Werder Bremen","4","2","H",19,13,7,6,6,5
"30",2014-09-20,"Hamburg","Bayern Munich","0","0","D",4,15,0,3,3,9
"31",2014-09-20,"Mainz","Dortmund","2","0","H",8,20,5,4,1,7
"32",2014-09-20,"Paderborn","Hannover","2","0","H",17,14,4,2,7,5
"33",2014-09-20,"Schalke 04","Ein Frankfurt","2","2","D",8,15,3,4,1,3
"34",2014-09-20,"Stuttgart","Hoffenheim","0","2","A",17,10,2,4,9,4
"35",2014-09-21,"FC Koln","M'gladbach","0","0","D",10,9,7,1,4,3
"36",2014-09-21,"Wolfsburg","Leverkusen","4","1","H",17,12,9,1,8,3
"37",2014-09-23,"Bayern Munich","Paderborn","4","0","H",25,6,9,2,9,3
"38",2014-09-23,"Ein Frankfurt","Mainz","2","2","D",16,5,8,5,9,3
"39",2014-09-23,"Hoffenheim","Freiburg","3","3","D",18,6,8,4,4,3
"40",2014-09-23,"Werder Bremen","Schalke 04","0","3","A",12,11,4,4,6,5
"41",2014-09-24,"Dortmund","Stuttgart","2","2","D",25,10,9,5,5,4
"42",2014-09-24,"Hannover","FC Koln","1","0","H",9,9,4,3,2,6
"43",2014-09-24,"Hertha","Wolfsburg","1","0","H",3,13,3,3,6,5
"44",2014-09-24,"Leverkusen","Augsburg","1","0","H",17,11,3,4,6,7
"45",2014-09-24,"M'gladbach","Hamburg","1","0","H",20,14,9,1,9,9
"46",2014-09-26,"Mainz","Hoffenheim","0","0","D",10,13,3,3,5,4
"47",2014-09-27,"FC Koln","Bayern Munich","0","2","A",8,21,3,8,2,11
"48",2014-09-27,"Freiburg","Leverkusen","0","0","D",8,16,3,8,5,3
"49",2014-09-27,"Paderborn","M'gladbach","1","2","A",24,11,8,4,9,0
"50",2014-09-27,"Schalke 04","Dortmund","2","1","H",11,17,6,5,3,9
"51",2014-09-27,"Stuttgart","Hannover","1","0","H",12,12,6,4,8,1
"52",2014-09-27,"Wolfsburg","Werder Bremen","2","1","H",18,8,8,3,8,5
"53",2014-09-28,"Augsburg","Hertha","1","0","H",8,10,3,3,3,9
"54",2014-09-28,"Hamburg","Ein Frankfurt","1","2","A",14,7,6,4,8,3
"55",2014-10-03,"Hertha","Stuttgart","3","2","H",12,9,9,2,3,7
"56",2014-10-04,"Bayern Munich","Hannover","4","0","H",23,6,9,3,11,1
"57",2014-10-04,"Dortmund","Hamburg","0","1","A",17,10,3,5,8,4
"58",2014-10-04,"Ein Frankfurt","FC Koln","3","2","H",19,12,8,7,6,2
"59",2014-10-04,"Hoffenheim","Schalke 04","2","1","H",20,13,8,3,5,3
"60",2014-10-04,"Leverkusen","Paderborn","2","2","D",21,8,10,5,9,2
"61",2014-10-04,"Werder Bremen","Freiburg","1","1","D",18,7,7,3,10,5
"62",2014-10-05,"M'gladbach","Mainz","1","1","D",18,8,10,2,2,3
"63",2014-10-05,"Wolfsburg","Augsburg","1","0","H",15,7,4,1,4,1
"64",2014-10-18,"Bayern Munich","Werder Bremen","6","0","H",19,0,6,0,10,0
"65",2014-10-18,"FC Koln","Dortmund","2","1","H",5,16,2,3,3,6
"66",2014-10-18,"Freiburg","Wolfsburg","1","2","A",14,15,7,8,6,2
"67",2014-10-18,"Hannover","M'gladbach","0","3","A",11,10,4,4,7,2
"68",2014-10-18,"Mainz","Augsburg","2","1","H",8,15,6,6,4,6
"69",2014-10-18,"Schalke 04","Hertha","2","0","H",7,15,3,4,0,5
"70",2014-10-18,"Stuttgart","Leverkusen","3","3","D",13,17,6,6,6,7
"71",2014-10-19,"Hamburg","Hoffenheim","1","1","D",17,9,6,4,5,2
"72",2014-10-19,"Paderborn","Ein Frankfurt","3","1","H",14,11,5,3,3,4
"73",2014-10-24,"Werder Bremen","FC Koln","0","1","A",11,10,4,4,8,1
"74",2014-10-25,"Augsburg","Freiburg","2","0","H",15,10,4,3,2,5
"75",2014-10-25,"Dortmund","Hannover","0","1","A",17,7,4,3,14,1
"76",2014-10-25,"Ein Frankfurt","Stuttgart","4","5","A",21,20,13,10,3,9
"77",2014-10-25,"Hertha","Hamburg","3","0","H",15,10,6,3,4,1
"78",2014-10-25,"Hoffenheim","Paderborn","1","0","H",19,11,5,1,6,4
"79",2014-10-25,"Leverkusen","Schalke 04","1","0","H",24,4,7,1,8,3
"80",2014-10-26,"M'gladbach","Bayern Munich","0","0","D",11,20,5,5,4,10
"81",2014-10-26,"Wolfsburg","Mainz","3","0","H",24,16,12,4,10,3
"82",2014-10-31,"Schalke 04","Augsburg","1","0","H",13,20,7,5,4,2
"83",2014-11-01,"Bayern Munich","Dortmund","2","1","H",25,10,14,4,9,2
"84",2014-11-01,"Hamburg","Leverkusen","1","0","H",5,11,1,2,1,3
"85",2014-11-01,"Hannover","Ein Frankfurt","1","0","H",14,6,3,4,10,4
"86",2014-11-01,"Mainz","Werder Bremen","1","2","A",21,9,3,7,8,1
"87",2014-11-01,"Stuttgart","Wolfsburg","0","4","A",13,15,4,6,4,6
"88",2014-11-02,"FC Koln","Freiburg","0","1","A",10,8,3,3,5,2
"89",2014-11-02,"M'gladbach","Hoffenheim","3","1","H",13,15,7,3,6,3
"90",2014-11-02,"Paderborn","Hertha","3","1","H",18,10,6,4,6,1
"91",2014-11-07,"Hertha","Hannover","0","2","A",7,12,1,5,4,7
"92",2014-11-08,"Augsburg","Paderborn","3","0","H",11,16,4,3,3,6
"93",2014-11-08,"Ein Frankfurt","Bayern Munich","0","4","A",6,19,2,9,4,8
"94",2014-11-08,"Freiburg","Schalke 04","2","0","H",19,11,9,4,3,1
"95",2014-11-08,"Hoffenheim","FC Koln","3","4","A",22,11,6,7,7,4
"96",2014-11-08,"Leverkusen","Mainz","0","0","D",24,6,6,1,13,0
"97",2014-11-08,"Werder Bremen","Stuttgart","2","0","H",12,8,4,1,4,4
"98",2014-11-09,"Dortmund","M'gladbach","1","0","H",22,1,6,0,7,0
"99",2014-11-09,"Wolfsburg","Hamburg","2","0","H",13,10,5,2,2,1
"100",2014-11-22,"Bayern Munich","Hoffenheim","4","0","H",17,11,9,5,9,5
